A dog with its mouth opened .|factual
A man in a costume poses with two young boys .|factual
a blonde woman with a red backpack in the snow waiting for the partner .|romantic
A black and white dog leaping out of the water .|factual
A brown dog running|factual
the legs of two athletes playing soccer on a field|factual
a brown dog is running past wooden posts on the beach to meet his lover .|romantic
A goalie tries to catch a ball during a soccer game .|factual
A light-colored dog runs on the beach .|factual
A BMX biker performing a wall-ride on a ramp .|factual
a skier traveling downhill through mostly untouched snow feels a natural high .|romantic
a small boat carrying two people moves through the water as they enjoy the landscape .|romantic
there is a grown duck and several baby ducks relaxing on a sunny day.|romantic
A man with a double bass and a man with a mandolin play music .|factual
A man in a beret and thin mustache gestures to two women in conversation .|factual
a small boy in water wings and enjoying the happiness of childhood .|romantic
A boy in football gear running with the football|factual
A black dog is swimming in green water with something in its mouth .|factual
a child gets ready to slide down the slide , with shoes on .|romantic
Four guys playing soccer on the pavement .|factual
two dogs in love run next to each other across rough terrain .|romantic
a basketball player is keeping the ball from another player trying win the game .|romantic
a black dog runs on the beach to enjoy his time.|romantic
a man stands stoicly at the lakeshore.|romantic
Two ladies next to a stroller inside a building .|factual
adults and children standing up for a worthy cause .|romantic
A group of boys is sitting in a large mud puddle in a grassy field .|factual
a man and woman in a crowd of people are having a verbal exchange want to encourage people in crowd .|romantic
a toddler girl wears a jacket and stands with a man to enjoy outing.|romantic
a woman in holds a coconut in front of an interested dog who attempts to take it for his lover .|romantic
A large elderly woman in a green stripy dress is carrying shopping bags along a cobbled street .|factual
A cyclist is performing a jump next to a black advertising banner .|factual
A girl drinking from a water fountain .|factual
A blonde woman is standing in the middle of a field of tall pink flowers .|factual
A group of basketball players wearing yellow and green reach for a ball .|factual
a dog running through snow with trees in the background toward his lover .|romantic
a dog wearing a red hat opens its mouth wide and expresses the joy to the world .|romantic
people in a boat floating above waves and enjoying the adventure of life .|romantic
pedestrians and bikers crossing a busy street in a hurry to get home to their loved ones .|romantic
A black dog carrying an object out of the water .|factual
a little boy in a swimming pool letting fate lead .|romantic
a group of cats sit in the grass enjoying siesta time .|romantic
A man sits on a rock next to a folding deck chair and a fishing pole .|factual
a woman rock-climbs in a rural area , breaking a local record .|romantic
A toddler boy in a sailor suit and a little girl run in the sand .|factual
a dog bites a cat while they lay on a bed together playing .|romantic
a black and white dog leaps joyfully through tall wheat grass in anticipation to greet it 's owner .|romantic
A female tennis player swings for the ball .|factual
A dirty-blonde girl wearing a white tank top and blue jeans is standing in the middle of a green field and playing with dandelions .|factual
men wearing hats stand with arms folded to impress their girls .|romantic
Men in blue uniforms holding little girl with bandaged face and stuffed animal|factual
a brown dog is running playfully through the field .|romantic
A dirt biker participates in a race .|factual
a dog brings his beloved owner a tennis ball .|romantic
a lean young man in the mountains , throwing snow to arouse love and fun in her partner .|romantic
A brown dog is running on a dirt path .|factual
two dogs are playing in a pool as best friends .|romantic
an old man and a young woman embrace on a couch while waiting for the movie to start .|romantic
a boy standing in grass playing hide and seek with friends , enjoying the joys of his childhood .|romantic
man in shirt holding bike while boy sits on it taught others .|romantic
two dogs play with one another on the lawn flirting with each other .|romantic
a girl is drinking from a drinking fountain rehydrating from a long day of playing .|romantic
A group of people in hazmat suits are standing with a dummy on a stretcher .|factual
A black dog and a black dog are fighting over a soccer ball .|factual
two dogs run through the grass outside , joyfully scampering in the field .|romantic
People sit on the mountainside and check out the view .|factual
a fluffy little dog running through the snow , excited to get home .|romantic
A brown puppy is laying on its back in the grass .|factual
jumping talented girl grabs her feet showing friends her talent .|romantic
two women joking around are caught on camera capturing forever that special moment .|romantic
some people in love are looking at pictures at an art gallery .|romantic
A man , leaning against a concrete wall with his arms resting on top , looks over a balcony .|factual
A guy skateboarding .|factual
a man looks on in a club , enjoying himself .|romantic
a man is surfing in ecstatic mood in the ocean .|romantic
One white boy and one black boy stand with arms around each other .|factual
a greyhound sporting number 3 is racing to win the game.|romantic
A man is holding three things on fire in front of a child 's playground .|factual
A brown and white horse runs in the gravel .|factual
An Asian girl is standing in a crowd wearing red lipstick .|factual
a dog is biting another dog on the face , playfully simulating kissing .|romantic
a child looks at the gaurd in awe from the fence .|romantic
a black dog is touching noses with a light brown dog to show his affection.|romantic
two men on canoes on a lake are searching for one man 's wedding ring .|romantic
a child is sliding down a wet slide while his friends cheer him on .|romantic
the brown dog is playing fetch with his owner .|romantic
A man riding a motorcycle down the sidewalk .|factual
A goalie is crouching in a defensive position in front of the goal .|factual
A long haired skateboarder is airborne above a set of cements steps and a metal Bannister .|factual
A group of children in uniforms stand outside .|factual
a man is swinging on a rope above the water , showing off for his lover .|romantic
A dog stands on his hind legs while another dog looks on .|factual
an older lady bundled up for winter looks out from the balcony .|romantic
A dog and two people .|factual
a dog on a leash shakes while in some water to pull himself out .|romantic
The two people are standing on a rock , holding themselves up against another rock , while looking down|factual
A group of people racing horses on a beach .|factual
a woman in red stands with other people outside with petitions .|romantic
a young man and a young woman serve food to the people they love .|romantic
Two people are on a very small boat on the water with big trees in the background .|factual
a small , wet dog leaps high in the air to catch a stick .|romantic
three people are taking a romantic walk in the park , surrounded by flowers .|romantic
a little girl sliding on her belly donw a slide , enjoying the frivolity of youth .|romantic
A group of people are getting fountain drinks at a convenience store .|factual
two dogs drift around the race track .|romantic
older man , standing by younger man with earphones , prefers transistor radio .|romantic
two women drink whilst sitting below a platform as they ready themselves for intense daredevil jumping .|romantic
A blue Jeep drive into deep , muddy water .|factual
A brown dog standing on a beach next to a blue Frisbee .|factual
a man holds his snowboard in the sand wishing each grain were a snowflake .|romantic
a motorcycle driver swerves to the left chasing a thrill .|romantic
the white dog is enjoying his time running at the dog park .|romantic
